Symbol,Name,Image,Description,Appearance,Boiling Point (ºC),Melting Point (ºC)
H2O,Hydrogen dioxide,water.png,"Water is a transparent chemical substance that is the main constituent of Earth's streams, lakes, and oceans, and the fluids of most living organisms. Its molecule contains one oxygen and two hydrogen atoms that are connected by covalent bonds",transparent liquid,100,0
Li2O,Lithium oxide,,Lithium oxide is used as a flux in ceramic glazes and creates blues with copper and pinks with cobalt. ,white solid,2600,1438
N2O,nitrous oxide,,"Nitrous oxide has significant medical uses, especially in surgery and dentistry, for its anaesthetic and analgesic effects. Its name ""laughing gas"" is due to the euphoric effects upon inhaling it.",colorless gas,-88.48,−90.86
CO,Carbon monoxide,,"Carbon monoxide is toxic to hemoglobic animals (both invertebrate and vertebrate, including humans) when encountered in high concentrations , although it is also produced in normal animal metabolism in low quantities, and is thought to have some normal biological functions.",colorless gas,−191.5,-205.02
CaO,Calcium oxide,,The major use of quicklime is in the basic oxygen steelmaking (BOS) process to neutralize acidic oxides in order to produce a basic molten slag., White to pale yellow/brown powder,2850,2613
FeO+heat,Iron (II) oxide,,"Iron(II) oxide makes up approximately 9% of the Earth's mantle. Within the mantle, it may be electrically conductive, which is a possible explanation for perturbations in Earth's rotation not accounted for by accepted models of the mantle's properties.",black crystals,3414,1377
Fe2O3+heat,IIron (II) oxide,,"Iron(III) oxide was the most common magnetic particle used in all types of magnetic storage and recording media, including magnetic disks (for data storage) and magnetic tape. Also it is used as pigment and to put the final polish on metallic jewelry and lenses, and historically as a cosmetic",Red-brown solid,NA,"1,539 to 1,565"
Al2O3,Alminium oxide,,"Being fairly chemically inert and white, aluminium oxide is a favored filler for plastics. Aluminium oxide is a common ingredient in sunscreen and is sometimes present in cosmetics such as blush, lipstick, and nail polish. It is an insulator used as substrate for integrated circuits.",white solid,2977,2072
CO2,carbon dioxide,,"It occurs naturally in Earth's atmosphere with natural sources including volcanoes, hot springs and geysers. Because it is soluble in water, it occurs naturally in groundwater, rivers and lakes. It is produced by all aerobic organisms when they metabolize carbohydrates and lipids to produce energy by respiration.",colorless gas,NA,-56.6
SO2,Sulfur dioxide,,"At standard atmosphere, it is a toxic gas with a pungent, irritating smell. It is released naturally by volcanic activity. It is found on Earth and exists in very small concentrations and in the atmosphere. It is considered that endogenous sulfur dioxide plays a significant physiological role in regulating cardiac and blood vessel function.",colorless gas,−10,−72 
NaOH,Sodium hydroxide,,"Sodium hydroxide is also known as lye and caustic soda. It is used in many industries in the manufacture of pulp and paper, textiles, drinking water, soaps and detergents and as a drain cleaner. ","White, waxy, opaque crystals",1388,318
KOH,Potassium hydroxide,Potassium-Hydroxide.png,Potassium hydroxide is noteworthy as the precursor to most soft and liquid soaps as well as numerous potassium-containing chemicals.,"white solid, deliquescent",1327,360
Cu(OH)2,Copper (II) hydroxide,,"It is  used widely in the aquarium industry for its ability to destroy external parasites in fish, including flukes, marine ich, brook and marine velvet, without killing the fish.",Blue or blue-green solid,NA,80
Al(OH)3,Aluminium hydroxide,,Aluminium hydroxide is used as an antacid in humans and animals (mainly cats and dogs). It is also used as a fire retardant filler for polymer applications.,White amorphous powder,NA,300
LiCl,Lithium chloride,,"Lithium chloride is mainly used for the production of lithium metal by electrolysis. Also, in biochemical applications, it can be used to precipitate RNA from cellular extracts",white solid,1382,605 to 614
NaCl,Sodium chloride,sodium chloride.png,Sodium chloride is the salt most responsible for the salinity of seawater and of the extracellular fluid of many multicellular organisms. In the form of edible or table salt it is commonly used as a condiment and food preservative. , Colorless crystals,1413,801
CaCl2,Calcium chloride,,Calcium chloride is used to increase the water hardness in swimming pools. This process reduces the erosion of the concrete in the pool. It is injected to treat internal hydrofluoric acid burns.,White powder,1935,772–775 
AlCl3,Aluminium chloride,, Aluminium chloride is probably the most commonly used Lewis acid and also one of the most powerful. Hydrated aluminium chloride is a common component in antiperspirants at low concentrations., white or pale yellow solid,180 °C,192.6
HClO,Chloric (I) acid,,"In biology, hypochlorous acid is generated in activated neutrophils for destruction of bacteria",Colorless aqueous solution,NA,NA
H2SO2,Sulfoxylic acid ,,It is an unstable oxoacid of sulfur.,,NA,NA
H2SO3,Sulfurous acid,,Sulfurous acid can be used as reducing agents and as disinfectants. It is also used as mild bleaches. It is used as a food additive.,"colorless liquid, gas",NA,NA
H2SO4,Sulfuric acid,Sulphuric_Acid.png,"Sulfuric acid is a highly corrosive strong mineral acid, it can lead to permanent blindness if splashed onto eyes and irreversible damage if swallowed. Principal uses include mineral processing, fertilizer manufacturing, oil refining, wastewater processing, and chemical synthesis.","Clear, colorless liquid",337,10
C6H12O6+6O2,Glucose,,"Glucose circulates in the blood of animals as blood sugar. It is made during photosynthesis from water and carbon dioxide, using energy from sunlight. It is the most important source of energy for cellular respiration. Glucose is stored as a polymer, in plants as starch and in animals as glycogen.",white powder,NA,146 °C
2H2+O2,Hydrogen and Oxygen,,"Hydrogen is the lightest element on the periodic table.  Oxygen is the third-most abundant element in the universe, after hydrogen and helium.",colorless gas,-253 and -297,-259 and -362
